"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Sampler Basic Features","0","0","Testar clique do botão","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Primeira célula","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Botão criar existe","0"
"0","","1","Sampler Basic Features","0","0","Testar checkbox","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Contar colunas","0"
"0","","0","Sauce Labs - Basic Features","1","0","Formulário de login existe","0"
"0","","0","Sauce Labs - Basic Features","1","0","Página de login carrega","0"
"0","","0","Sauce Labs - Basic Features","1","0","Entrar texto no username","0"
"0","","1","Sampler Basic Features","0","0","Testar entrada de texto","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Tabela existe","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Conteúdo da tabela","0"
"0","","0","Sauce Labs - Basic Features","1","0","Entrar texto no password","0"
"0","","1","Sampler Basic Features","0","0","Validar estrutura da página","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Contar células","0"
"0","","1","Sampler Basic Features","0","0","Testar radio button","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Tabela/Grid existe","0"
"0","","0","Sauce Labs - Basic Features","1","0","Login com credenciais válidas","0"
"0","","0","Vaadin Database Example - Basic Features","1","0","Página carrega","0"
"0","","0","Sauce Labs - Basic Features","1","0","Input fields visíveis","0"
"0","","1","Vaadin Database Example - Basic Features","0","0","Contar linhas","0"
