"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica se o botão funciona corretamente","10533","testButtonClick()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testButtonClick"
"Verifica se primeira célula tem conteúdo","13814","testFirstCellContent()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testFirstCellContent"
"Verifica se botão de criar está visível","12825","testCreateButtonExists()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testCreateButtonExists"
"Verifica se o checkbox pode ser marcado","14553","testCheckbox()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testCheckbox"
"Verifica quantas colunas existem na tabela","2589","testCountColumns()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testCountColumns"
"Valida que formulário de login está presente","46","testLoginFormExists()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginFormExists"
"Verifica se página de login do Sauce Labs carrega corretamente","80","testLoginPageLoads()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginPageLoads"
"Valida entrada de texto no campo username","209","testUsernameInput()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testUsernameInput"
"Verifica se é possível inserir texto no campo input","10763","testTextInput()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testTextInput"
"Verifica se tabela está presente na página","12799","testTableExists()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testTableExists"
"Valida que grid tem conteúdo de filmes","13701","testTableHasContent()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testTableHasContent"
"Valida entrada de texto no campo password","3257","testPasswordInput()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testPasswordInput"
"Verifica se todos os elementos básicos estão presentes","10612","testPageElementsExist()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testPageElementsExist"
"Verifica quantas células/campos existem","6535","testCountCells()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testCountCells"
"Verifica se o radio button pode ser selecionado","10644","testRadioButton()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testRadioButton"
"Verifica se grid/tabela está presente na página","13768","testTableGridExists()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testTableGridExists"
"Testa login com standard_user","2429","testValidLogin()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testValidLogin"
"Verifica se página database carrega corretamente","3569","testPageLoads()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testPageLoads"
"Verifica se campos de entrada estão visíveis","96","testInputFieldsVisible()","","2025-12-05","passed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testInputFieldsVisible"
"Verifica quantas linhas existem no grid","3328","testCountRows()","","2025-12-05","failed","2025-12-05","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testCountRows"
