"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open the Developer Tools menu and ensure it stays visible.","742","verifyDeveloperToolsMenu()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifyDeveloperToolsMenu"
"Ensure the Sampler Data input text field accepts and returns the typed value.","2865","testTextFieldInteraction()","","2026-01-06","passed","2026-01-06","","Sampler.datainput.DataInputTest","Sampler.datainput.DataInputTest","testTextFieldInteraction"
"Valida entrada de texto no campo username","82","testUsernameInput()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testUsernameInput"
"Refresh dynamic content and verify the text changes.","2032","testContentChangesOnRefresh()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.the_internet_app.DynamicContentTest","iscteiul.ista.testes_selenium.the_internet_app.DynamicContentTest","testContentChangesOnRefresh"
"Verify the JetBrains homepage title contains the expected branding.","2906","verifySiteTitle()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifySiteTitle"
"Search for a movie and validate its title and release year.","4103","testMovieInfoFromSearch()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.database_suite.DatabaseTest","iscteiul.ista.testes_selenium.database_suite.DatabaseTest","testMovieInfoFromSearch"
"Testa login com standard_user","185","testValidLogin()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testValidLogin"
"Valida que formulário de login está presente","35","testLoginFormExists()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginFormExists"
"Opens a data presentation sample and validates that rows are rendered","3677","testShouldDisplayDataPresentationSample()","","2026-01-06","passed","2026-01-06","","Sampler.DataPresentation.DataPresentationTest","Sampler.DataPresentation.DataPresentationTest","testShouldDisplayDataPresentationSample"
"Submit the community form and verify successful login state.","1024","testFormSubmissionSuccess()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.form_suite.CommunityTest","iscteiul.ista.testes_selenium.form_suite.CommunityTest","testFormSubmissionSuccess"
"Verifica se a página de login carrega corretamente","41","testLoginPageLoads()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginPageLoads"
"Check that the site search button is visible.","451","verifySearchButtonExists()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifySearchButtonExists"
"Upload a temporary file and validate the success message and filename.","666","testFileUpload(Path)","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.the_internet_app.FileUploadTest","iscteiul.ista.testes_selenium.the_internet_app.FileUploadTest","testFileUpload"
"Valida entrada de texto no campo password","168","testPasswordInput()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testPasswordInput"
"Access Interaction component and click a demo button","1784","testInteractionButtonDemo()","","2026-01-06","passed","2026-01-06","","Sampler.Interaction.InteractionTest","Sampler.Interaction.InteractionTest","testInteractionButtonDemo"
"Verifica se campos de entrada estão visíveis","41","testInputFieldsVisible()","","2026-01-06","passed","2026-01-06","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testInputFieldsVisible"
"Add a new category (TodoMVC fallback) and verify it appears in the list.","510","testShouldAddCategory()","","2026-01-06","passed","2026-01-06","","Bookstore.AddCategoryTest","Bookstore.AddCategoryTest","testShouldAddCategory"
"Logs in, adds a product, and verifies cart count and item name","449","testShouldAddProductToCart()","","2026-01-06","passed","2026-01-06","","Bookstore.AddProductTest","Bookstore.AddProductTest","testShouldAddProductToCart"
"Toggle both checkboxes and confirm their final states.","283","testCheckboxInteraction()","","2026-01-06","passed","2026-01-06","","iscteiul.ista.testes_selenium.the_internet_app.CheckboxesTest","iscteiul.ista.testes_selenium.the_internet_app.CheckboxesTest","testCheckboxInteraction"
