"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2746","testFormSubmissionSuccess()","","Sat Dec 27 10:28:16 WET 2025","passed","Sat Dec 27 10:28:18 WET 2025","","iscteiul.ista.testes_selenium.form_suite.CommunityTest","iscteiul.ista.testes_selenium.form_suite.CommunityTest","testFormSubmissionSuccess"
"","8657","verifySiteTitle()","","Sat Dec 27 10:27:57 WET 2025","passed","Sat Dec 27 10:28:05 WET 2025","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifySiteTitle"
"","3545","testContentChangesOnRefresh()","","Sat Dec 27 10:28:10 WET 2025","passed","Sat Dec 27 10:28:14 WET 2025","","iscteiul.ista.testes_selenium.the_internet_app.DynamicContentTest","iscteiul.ista.testes_selenium.the_internet_app.DynamicContentTest","testContentChangesOnRefresh"
"Testa login com standard_user","2191","testValidLogin()","","Sat Dec 27 10:28:18 WET 2025","passed","Sat Dec 27 10:28:21 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testValidLogin"
"","6657","testTextFieldInteraction()","","Sat Dec 27 11:08:04 WET 2025","passed","Sat Dec 27 11:08:11 WET 2025","","sampler.datainput.DataInputTest","sampler.datainput.DataInputTest","testTextFieldInteraction"
"","2115","verifySearchButtonExists()","","Sat Dec 27 10:28:08 WET 2025","passed","Sat Dec 27 10:28:10 WET 2025","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifySearchButtonExists"
"Verifica se campos de entrada estão visíveis","46","testInputFieldsVisible()","","Sat Dec 27 10:28:21 WET 2025","passed","Sat Dec 27 10:28:21 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testInputFieldsVisible"
"","417","testCheckboxInteraction()","","Sat Dec 27 10:28:14 WET 2025","passed","Sat Dec 27 10:28:14 WET 2025","","iscteiul.ista.testes_selenium.the_internet_app.CheckboxesTest","iscteiul.ista.testes_selenium.the_internet_app.CheckboxesTest","testCheckboxInteraction"
"Valida entrada de texto no campo username","80","testUsernameInput()","","Sat Dec 27 10:28:18 WET 2025","passed","Sat Dec 27 10:28:18 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testUsernameInput"
"Valida que formulário de login está presente","26","testLoginFormExists()","","Sat Dec 27 10:28:21 WET 2025","passed","Sat Dec 27 10:28:21 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginFormExists"
"Valida entrada de texto no campo password","102","testPasswordInput()","","Sat Dec 27 10:28:18 WET 2025","passed","Sat Dec 27 10:28:18 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testPasswordInput"
"","1118","testFileUpload(Path)","","Sat Dec 27 10:28:14 WET 2025","passed","Sat Dec 27 10:28:16 WET 2025","","iscteiul.ista.testes_selenium.the_internet_app.FileUploadTest","iscteiul.ista.testes_selenium.the_internet_app.FileUploadTest","testFileUpload"
"","2747","verifyDeveloperToolsMenu()","","Sat Dec 27 10:28:06 WET 2025","passed","Sat Dec 27 10:28:08 WET 2025","","iscteiul.ista.testes_selenium.MainPageTest","iscteiul.ista.testes_selenium.MainPageTest","verifyDeveloperToolsMenu"
"Verifica se página de login do Sauce Labs carrega corretamente","63","testLoginPageLoads()","","Sat Dec 27 10:28:21 WET 2025","passed","Sat Dec 27 10:28:21 WET 2025","","Sampler.BasicFeatures.BasicFeaturesTest","Sampler.BasicFeatures.BasicFeaturesTest","testLoginPageLoads"
